Author	DOB	DOB_WIP	POB	POB_WIP	DOD	DOD_WIP	POD	POD_WIP	Link	identifier	givenName	familyName	alternateNames	occupation	birthPlace	birthPlace_WIP	birthDate	birthDate_WIP	deathPlace	deathPlace_WIP	deathDate	deathDate_WIP	gender	geb_plaats	geb_plaats_WIP	birthCountry	birthCountry_WIP	overl_plaats	overl_plaats_WIP	deathCountry	deathCountry_WIP	period	geboortedatum	geboortedatum_WIP	sterfdatum	sterfdatum_WIP	language	category	profession	organisation
A.L.M. Arnolds	1913	1913-xx-xx	Bergen op Zoom	Bergen op Zoom	1996	1996-xx-xx	Bunnik	Bunnik	https://www.dbnl.org/auteurs/auteur.php?id=arno005	arno005	Alfonsus Leonardus Maria (Fons)	Arnolds	A.L.M. Arnolds		Bergen op Zoom	Bergen op Zoom	1913	1913-xx-xx	Bunnik	Bunnik	1996	1996-xx-xx	male	Bergen op Zoom	Bergen op Zoom			Bunnik	Bunnik			Twintigste Eeuw	1913	1913-xx-xx	1996	1996-xx-xx		secundair		
Victor E. van Vriesland	27 oktober 1892	1892-10-27	Haarlem	Haarlem	29 oktober 1974	1974-10-29	Amsterdam	Amsterdam	https://www.dbnl.org/auteurs/auteur.php?id=vrie060	vrie060	Victor E.	van Vriesland	Victor E. van Vriesland		Haarlem	Haarlem	1892-10-27	1892-10-27	Amsterdam	Amsterdam	10/29/1974	1974-10-29	male	Haarlem	Haarlem			Amsterdam	Amsterdam			Twintigste Eeuw	27 oktober 1892	1892-10-27	29 oktober 1974	1974-10-29	nl			
C.J. Kelk	28 augustus 1901	1901-08-28	Amsterdam	Amsterdam	25 december 1981	1981-12-25	Doorwerth	Doorwerth	https://www.dbnl.org/auteurs/auteur.php?id=kelk001	kelk001	Cornelis Jan	Kelk	C.J. Kelk/Thomas Beker	vertaler	Amsterdam	Amsterdam	8/28/1901	1901-08-28	Doorwerth	Doorwerth	12/25/1981	1981-12-25	male	Amsterdam	Amsterdam			Doorwerth	Doorwerth			Twintigste Eeuw	28 augustus 1901	1901-08-28	25 december 1981	1981-12-25	nl		vertaler	
H.W.J.M. Keuls	19 mei 1883	1883-05-19	Obdam	Obdam	29 oktober 1968	1968-10-29	Ede	Ede	https://www.dbnl.org/auteurs/auteur.php?id=keul003	keul003	H.W.J.M.	Keuls	H.W.J.M. Keuls	advocaat/jurist	Obdam	Obdam	1883-05-19	1883-05-19	Ede	Ede	10/29/1968	1968-10-29	male	Obdam	Obdam			Ede	Ede			Twintigste Eeuw	19 mei 1883	1883-05-19	29 oktober 1968	1968-10-29	nl		advocaat/jurist	
H.J.M.F. Lodewick	16 september 1909	1909-09-16	Maastricht	Maastricht	19 maart 1995	1995-03-19	Cadier en Keer	Cadier en Keer	https://www.dbnl.org/auteurs/auteur.php?id=lode004	lode004	Herman Joseph Marie Fernand	Lodewick	Fernand M. de Louvick/H.J.M.F. Lodewick/Mang	leraar/docent/hoogleraar	Maastricht	Maastricht	9/16/1909	1909-09-16	Cadier	Cadier	3/19/1995	1995-03-19	male	Maastricht	Maastricht			Cadier en Keer	Cadier en Keer			Twintigste Eeuw	16 september 1909	1909-09-16	19 maart 1995	1995-03-19	nl	secundair/nonfictie/limburg	leraar/docent/hoogleraar	
Ab Visser	14 februari 1913	1913-02-14	Groningen	Groningen	9 mei 1982	1982-05-09	Amsterdam	Amsterdam	https://www.dbnl.org/auteurs/auteur.php?id=viss012	viss012	Ab	Visser	Ab Visser/Carel J. Bicker	redacteur/journalist	Groningen	Groningen	2/14/1913	1913-02-14	Amsterdam	Amsterdam	5/9/1982	1982-05-09	male	Groningen	Groningen			Amsterdam	Amsterdam			Twintigste Eeuw	14 februari 1913	1913-02-14	9 mei 1982	1982-05-09	nl	jeugdliteratuur	redacteur/journalist	
Hubert Janssen	7 maart 1910	1910-03-07	Rotterdam	Rotterdam	26 december 1984	1984-12-26	Gare du Nord, Parijs	Gare du Nord	https://www.dbnl.org/auteurs/auteur.php?id=jans040	jans040	Hubert Wilhelmus Jacobus (Huub)	Janssen	Hubert Janssen/Jean Senn		Rotterdam	Rotterdam	3/7/1910	1910-03-07			12/26/1984	1984-12-26	male	Rotterdam	Rotterdam			Gare du Nord. Parijs	Gare du Nord	Frankrijk	Frankrijk	Twintigste Eeuw	7 maart 1910	1910-03-07	26 december 1984	1984-12-26				
Jacques Idserda	8 juli 1918	1918-07-08	Loosdrecht	Loosdrecht	14 februari 2007	2007-02-14	Laren	Laren	https://www.dbnl.org/auteurs/auteur.php?id=idse001	idse001	Jacques Cornelis	Idserda	Jacques Idserda	schilder	Loosdrecht	Loosdrecht	7/8/1918	1918-07-08	Laren	Laren	2/14/2007	2007-02-14	male	Loosdrecht	Loosdrecht			Laren	Laren			Twintigste Eeuw	8 juli 1918	1918-07-08	14 februari 2007	2007-02-14			schilder	
J. van Delden	19 april 1919	1919-04-19	Beerta	Beerta	21 juli 2006	2006-07-21	Appingedam	Appingedam	https://www.dbnl.org/auteurs/auteur.php?id=deld004	deld004	Johan	van Delden	J. van Delden	leraar/docent/hoogleraar	Beerta	Beerta	4/19/1919	1919-04-19	Appingedam	Appingedam	7/21/2006	2006-07-21	male	Beerta	Beerta			Appingedam	Appingedam			20e/21e Eeuw	19 april 1919	1919-04-19	21 juli 2006	2006-07-21		secundair	leraar/docent/hoogleraar	
Karel Meeuwesse	11 juli 1914	1914-07-11	Heer	Heer	24 juni 1991	1991-06-24	Nijmegen	Nijmegen	https://www.dbnl.org/auteurs/auteur.php?id=meeu003	meeu003	Antonius Catharina Maria	Meeuwesse	Karel Meeuwesse	leraar/docent/hoogleraar	Heer	Heer	7/11/1914	1914-07-11	Nijmegen	Nijmegen	6/24/1991	1991-06-24	male	Heer	Heer			Nijmegen	Nijmegen			Twintigste Eeuw	11 juli 1914	1914-07-11	24 juni 1991	1991-06-24	nl	secundair	leraar/docent/hoogleraar	
F.J.J. Buitendijk	1887	1887-xx-xx			1974	1974-xx-xx			https://www.dbnl.org/auteurs/auteur.php?id=buit006	buit006	Frederik Jacobus Johannes	Buitendijk	F.J.J. Buitendijk	leraar/zielsverzorger/hoogleraar/docent/ps.ther./psychol	Breda	Breda	1887-04-29	1887-04-29	Nijmegen	Nijmegen	10/21/1974	1974-10-21	male	Breda	Breda			Nijmegen	Nijmegen			Twintigste Eeuw	29 april 1887	1887-04-29	21 oktober 1974	1974-10-21	nl	nonfictie	leraar/zielsverzorger/hoogleraar/docent/ps.ther./psychol	
P.H. van der Kemp	1845	1845-xx-xx			1921	1921-xx-xx			https://www.dbnl.org/auteurs/auteur.php?id=kemp034	kemp034	Pieter Hendrik	van der Kemp	P.H. van der Kemp				1845	1845-xx-xx			1921	1921-xx-xx	male									19e/20e Eeuw	1845	1845-xx-xx	1921	1921-xx-xx	nl	secundair		
Otto Dijk	7 juni 1925	1925-06-07	Vlijmen	Vlijmen	13 maart 2004	2004-03-13			https://www.dbnl.org/auteurs/auteur.php?id=dijk009	dijk009	Otto	Dijk	Ad Odijk/Otto Dijk		Vlijmen	Vlijmen	6/7/1925	1925-06-07			3/13/2004	2004-03-13	male	Vlijmen	Vlijmen							20e/21e Eeuw	7 juni 1925	1925-06-07	13 maart 2004	2004-03-13	nl			
Otto van Eck	5 juli 1780	1780-07-05			1798	1798-xx-xx			https://www.dbnl.org/auteurs/auteur.php?id=eck_005	eck_005	Otto	van Eck	Otto van Eck				1780-07-05	1780-07-05			1798	1798-xx-xx	male									Achttiende Eeuw	5 juli 1780	1780-07-05	1798	1798-xx-xx				
Anton van der Vet	1919	1919-xx-xx			1997	1997-xx-xx			https://www.dbnl.org/auteurs/auteur.php?id=vet_001	vet_001	Antonie Carel Wouter	van der Vet	Anton van der Vet				1919	1919-xx-xx			1997	1997-xx-xx	male	Den Haag	Den Haag							Twintigste Eeuw	1919	1919-xx-xx	27 april 1997	1997-04-27	nl	jeugdliteratuur/suriname	redacteur/journalist	
Peter Crassaerts	20ste eeuw	19xx-xx-xx							https://www.dbnl.org/auteurs/auteur.php?id=cras002	cras002	Peter	Crassaerts	Peter Crassaerts				19xx	19xx-xx-xx					male									Twintigste Eeuw	?(20ste eeuw)	19xx-xx-xx						
R.J. Valkhoff	1899	1899-xx-xx			1971	1971-xx-xx			https://www.dbnl.org/auteurs/auteur.php?id=valk015	valk015	Reinhard Johan	Valkhoff	R.J. Valkhoff				1899	1899-xx-xx			1971	1971-xx-xx	male									Twintigste Eeuw	1899	1899-xx-xx	1971	1971-xx-xx		jeugdliteratuur		
J.J. Nieuwburg	20ste eeuw	19xx-xx-xx							https://www.dbnl.org/auteurs/auteur.php?id=nieu055	nieu055	J.J.	Nieuwburg	J.J. Nieuwburg				19xx	19xx-xx-xx					male									Twintigste Eeuw	?(20ste eeuw)	19xx-xx-xx						
H. de Vries	18de eeuw	17xx-xx-xx							https://www.dbnl.org/auteurs/auteur.php?id=vrie079	vrie079	H.	de Vries	H. de Vries				17xx	17xx-xx-xx			000?		male									Achttiende Eeuw	?(18de eeuw)	17xx-xx-xx	?		nl			
W.J.C. van Hasselt	9 januari 1795	1795-01-09	Amsterdam	Amsterdam	2 maart 1864	1864-03-02	Amsterdam	Amsterdam	https://www.dbnl.org/auteurs/auteur.php?id=hass007	hass007	Willem Jan Cornelis	van Hasselt	W.J.C. van Hasselt	advocaat/jurist	Amsterdam	Amsterdam	1795-01-09	1795-01-09	Amsterdam	Amsterdam	1864-03-02	1864-03-02	male	Amsterdam	Amsterdam			Amsterdam	Amsterdam			Achttiende Eeuw	9 januari 1795	1795-01-09	2 maart 1864	1864-03-02	nl		advocaat/jurist	
Nicolaas Beets	13 september 1814	1814-09-13	Haarlem	Haarlem	13 maart 1903	1903-03-13	Utrecht	Utrecht	https://www.dbnl.org/auteurs/auteur.php?id=beet005	beet005	Nicolaas	Beets	Hildebrand/Nicolaas Beets	leraar/hoogleraar/docent/herv./geref. predikant	Haarlem	Haarlem	1814-09-13	1814-09-13	Utrecht	Utrecht	3/13/1903	1903-03-13	male	Haarlem	Haarlem			Utrecht	Utrecht			Negentiende Eeuw	13 september 1814	1814-09-13	13 maart 1903	1903-03-13	nl	jeugdliteratuur	leraar/hoogleraar/docent/herv./geref. predikant	
Jan Pieter Heije	1 maart 1809	1809-03-01	Amsterdam	Amsterdam	24 februari 1876	1876-02-24	Amsterdam	Amsterdam	https://www.dbnl.org/auteurs/auteur.php?id=heij007	heij007	Jan Pieter	Heije	Jan Pieter Heije/Jan van Amstel/Piet Bogcheljoen	medicus/apotheker/redacteur/journalist	Amsterdam	Amsterdam	1809-03-01	1809-03-01	Amsterdam	Amsterdam	1876-02-24	1876-02-24	male	Amsterdam	Amsterdam			Amsterdam	Amsterdam			Negentiende Eeuw	1 maart 1809	1809-03-01	24 februari 1876	1876-02-24	nl	jeugdliteratuur	medicus/apotheker/redacteur/journalist	
Hendrik Engelinus Weijers	14 mei 1805	1805-05-14	Winkel	Winkel	31 maart 1844	1844-03-31	Leiden	Leiden	https://www.dbnl.org/auteurs/auteur.php?id=weij008	weij008	Hendrik Engelinus	Weijers	Hendrik Engelinus Weijers/Weyers	theoloog/leraar/hoogleraar/docent/herv./geref. predikant	Winkel	Winkel	1805-05-14	1805-05-14	Leiden	Leiden	1844-03-31	1844-03-31	male	Winkel	Winkel			Leiden	Leiden			Negentiende Eeuw	14 mei 1805	1805-05-14	31 maart 1844	1844-03-31	nl		theoloog/leraar/hoogleraar/docent/herv./geref. predikant	
J. Ackersdijck	22 oktober 1790	1790-10-22	Hertogenbosch	Hertogenbosch	13 juni 1861	1861-06-13	Utrecht	Utrecht	https://www.dbnl.org/auteurs/auteur.php?id=acke008	acke008	Jan	Ackersdijck	J. Ackersdijck	advocaat/jurist	Hertogenbosch	Hertogenbosch	1790-10-22	1790-10-22	Utrecht	Utrecht	1861-06-13	1861-06-13	male	Hertogenbosch	Hertogenbosch			Utrecht	Utrecht			Negentiende Eeuw	22 oktober 1790	1790-10-22	13 juni 1861	1861-06-13	nl		advocaat/jurist	
E.J. Potgieter	27 juni 1808	1808-06-27	Zwolle	Zwolle	3 februari 1875	1875-02-03	Amsterdam	Amsterdam	https://www.dbnl.org/auteurs/auteur.php?id=potg001	potg001	Everardus Johannes	Potgieter	E.J. Potgieter		Zwolle	Zwolle	1808-06-27	1808-06-27	Amsterdam	Amsterdam	1875-02-03	1875-02-03	male	Zwolle	Zwolle			Amsterdam	Amsterdam			Negentiende Eeuw	27 juni 1808	1808-06-27	3 februari 1875	1875-02-03	nl			
Jacob Pieter van Walrée	3 december 1798	1798-12-03	Amsterdam	Amsterdam	22 januari 1849	1849-01-22	Amsterdam	Amsterdam	https://www.dbnl.org/auteurs/auteur.php?id=walr011	walr011	Jacob Pieter	van Walrée	Jacob Pieter van Walrée	advocaat/jurist	Amsterdam	Amsterdam	1798-12-03	1798-12-03	Amsterdam	Amsterdam	1849-01-22	1849-01-22	male	Amsterdam	Amsterdam			Amsterdam	Amsterdam			Negentiende Eeuw	3 december 1798	1798-12-03	22 januari 1849	1849-01-22	nl		advocaat/jurist	
S.J. van den Bergh	10 januari 1814	1814-01-10	Den Haag	Den Haag	24 december 1868	1868-12-24	Den Haag	Den Haag	https://www.dbnl.org/auteurs/auteur.php?id=berg047	berg047	Samuel Johannes	van den Bergh	S.J. van den Bergh	apotheker/medicus	Den Haag	Den Haag	1814-01-10	1814-01-10	Den Haag	Den Haag	1868-12-24	1868-12-24	male	Den Haag	Den Haag			Den Haag	Den Haag			Negentiende Eeuw	10 januari 1814	1814-01-10	24 december 1868	1868-12-24	nl	jeugdliteratuur	apotheker/medicus	
J.P. Arend	6 november 1796	1796-11-06	Amsterdam	Amsterdam	5 oktober 1855	1855-10-05	Amsterdam	Amsterdam	https://www.dbnl.org/auteurs/auteur.php?id=aren011	aren011	Johannes Pieter	Arend	J.P. Arend	onderwijzer (basisschool)/archeoloog/historicus/vertaler	Amsterdam	Amsterdam	1796-11-06	1796-11-06	Amsterdam	Amsterdam	1855-10-05	1855-10-05	male	Amsterdam	Amsterdam			Amsterdam	Amsterdam			Negentiende Eeuw	6 november 1796	1796-11-06	5 oktober 1855	1855-10-05	nl	secundair	onderwijzer (basisschool)/archeoloog/historicus/vertaler	
Herman Pol	1811	1811-xx-xx	Hengelo	Hengelo	5 mei 1845	1845-05-05	Amsterdam	Amsterdam	https://www.dbnl.org/auteurs/auteur.php?id=pol_003	pol_003	Herman	Pol	Herman Pol	onderwijzer (basisschool)/redacteur/journalist	Hengelo	Hengelo	1811	1811-xx-xx	Amsterdam	Amsterdam	1845-05-05	1845-05-05	male	Hengelo	Hengelo			Amsterdam	Amsterdam			Negentiende Eeuw	1811	1811-xx-xx	5 mei 1845	1845-05-05	nl		onderwijzer (basisschool)/redacteur/journalist	
A.L.G. Bosboom-Toussaint	16 september 1812	1812-09-16	Alkmaar	Alkmaar	13 april 1886	1886-04-13	Den Haag	Den Haag	https://www.dbnl.org/auteurs/auteur.php?id=bosb002	bosb002	Anna Louisa Geertruida	Bosboom-Toussaint	A.L.G. Bosboom-Toussaint/Anna Louisa Geertruyda Bosboom-Toussaint/Geertruida Bosboom-Toussaint/Truitje Bosboom-Toussaint	onderwijzer (basisschool)/vertaler	Alkmaar	Alkmaar	1812-09-16	1812-09-16	Den Haag	Den Haag	1886-04-13	1886-04-13	female	Alkmaar	Alkmaar			Den Haag	Den Haag			Negentiende Eeuw	16 september 1812	1812-09-16	13 april 1886	1886-04-13	nl		onderwijzer (basisschool)/vertaler	
Willem Gerard Brill	10 oktober 1811	1811-10-10	Leiden	Leiden	19 januari 1896	1896-01-19	Utrecht	Utrecht	https://www.dbnl.org/auteurs/auteur.php?id=bril002	bril002	Willem Gerard	Brill	Willem Gerard Brill	leraar/classicus/docent/hoogleraar	Leiden	Leiden	1811-10-10	1811-10-10	Utrecht	Utrecht	1896-01-19	1896-01-19	male	Leiden	Leiden			Utrecht	Utrecht			Negentiende Eeuw	10 oktober 1811	1811-10-10	19 januari 1896	1896-01-19	nl	secundair/taalkunde/nonfictie	leraar/classicus/docent/hoogleraar	
Joël Emanuel Goudsmit	13 juni 1813	1813-06-13	Leiden	Leiden	17 maart 1882	1882-03-17	Leiden	Leiden	https://www.dbnl.org/auteurs/auteur.php?id=goud010	goud010	Joël Emanuel	Goudsmit	Joël Emanuel Goudsmit	advocaat/jurist	Leiden	Leiden	1813-06-13	1813-06-13	Leiden	Leiden	1882-03-17	1882-03-17	male	Leiden	Leiden			Leiden	Leiden			Negentiende Eeuw	13 juni 1813	1813-06-13	17 maart 1882	1882-03-17	nl	secundair/nonfictie	advocaat/jurist	
S. de Visser S.zoon	19de eeuw	18xx-xx-xx							https://www.dbnl.org/auteurs/auteur.php?id=viss065	viss065	S.	de Visser S.zoon	S. de Visser S.zoon				18xx	18xx-xx-xx			000?		male									Negentiende Eeuw	?(19de eeuw)	18xx-xx-xx	?					
J.I.D. Nepveu	3 februari 1810	1810-02-03	Utrecht	Utrecht	16 maart 1887	1887-03-16	Utrecht	Utrecht	https://www.dbnl.org/auteurs/auteur.php?id=nepv001	nepv001	Jan Ignatius Daniel	Nepveu	J.I.D. Nepveu	advocaat/jurist	Utrecht	Utrecht	1810-02-03	1810-02-03	Utrecht	Utrecht	1887-03-16	1887-03-16	male	Utrecht	Utrecht			Utrecht	Utrecht			Negentiende Eeuw	3 februari 1810	1810-02-03	16 maart 1887	1887-03-16	nl		advocaat/jurist	
L.Ph.C. van den Bergh	20 juni 1805	1805-06-20	Düsseldorf	Düsseldorf	17 september 1887	1887-09-17	Den Haag	Den Haag	https://www.dbnl.org/auteurs/auteur.php?id=berg081	berg081	Laurent Philippe Charles	van den Bergh	L.Ph.C. van den Bergh	archivaris/bibliothecaris			1805-06-20	1805-06-20	Den Haag	Den Haag	1887-09-17	1887-09-17	male	Düsseldorf	Düsseldorf	Duitsland	Duitsland	Den Haag	Den Haag			Negentiende Eeuw	20 juni 1805	1805-06-20	17 september 1887	1887-09-17	nl	taalkunde/nonfictie	archivaris/bibliothecaris	
Johannes Gerardus la Lau	10 januari 1799	1799-01-10	Leiden	Leiden	10 augustus 1857	1857-08-10	Leiden	Leiden	https://www.dbnl.org/auteurs/auteur.php?id=lau_001	lau_001	Johannes Gerardus	la Lau	Johannes Gerardus la Lau	advocaat/jurist	Leiden	Leiden	1799-01-10	1799-01-10	Leiden	Leiden	1857-08-10	1857-08-10	male	Leiden	Leiden			Leiden	Leiden			Negentiende Eeuw	10 januari 1799	1799-01-10	10 augustus 1857	1857-08-10	nl		advocaat/jurist	
J.J.A. Goeverneur	14 februari 1809	1809-02-14	Hoevelaken	Hoevelaken	18 maart 1889	1889-03-18	Groningen	Groningen	https://www.dbnl.org/auteurs/auteur.php?id=goev001	goev001	Johan Jacob Antonie	Goeverneur	J.J.A. Goeverneur/J.J.A. Gouverneur/Jan de Rijmer/Oom Jan	classicus	Hoevelaken	Hoevelaken	1809-02-14	1809-02-14	Groningen	Groningen	1889-03-18	1889-03-18	male	Hoevelaken	Hoevelaken			Groningen	Groningen			Negentiende Eeuw	14 februari 1809	1809-02-14	18 maart 1889	1889-03-18	nl	jeugdliteratuur	classicus	
Conradus Leemans	28 april 1809	1809-04-28	Zaltbommel	Zaltbommel	14 oktober 1893	1893-10-14	Leiden	Leiden	https://www.dbnl.org/auteurs/auteur.php?id=leem005	leem005	Conradus	Leemans	Conradus Leemans	archeoloog/historicus	Zaltbommel	Zaltbommel	1809-04-28	1809-04-28	Leiden	Leiden	1893-10-14	1893-10-14	male	Zaltbommel	Zaltbommel			Leiden	Leiden			Negentiende Eeuw	28 april 1809	1809-04-28	14 oktober 1893	1893-10-14	nl	nonfictie	archeoloog/historicus	
Jan van der Hoeven	9 februari 1801	1801-02-09	Rotterdam	Rotterdam	10 maart 1868	1868-03-10	Leiden	Leiden	https://www.dbnl.org/auteurs/auteur.php?id=hoev009	hoev009	Jan	van der Hoeven	Jan van der Hoeven	natuurwetenschapper/apotheker/medicus	Rotterdam	Rotterdam	1801-02-09	1801-02-09	Leiden	Leiden	1868-03-10	1868-03-10	male	Rotterdam	Rotterdam			Leiden	Leiden			Negentiende Eeuw	9 februari 1801	1801-02-09	10 maart 1868	1868-03-10	nl		medicus/apotheker/natuurwetenschapper	
Cornelis Star Numan	2 februari 1807	1807-02-02	Sappemeer	Sappemeer	9 mei 1857	1857-05-09	Groningen	Groningen	https://www.dbnl.org/auteurs/auteur.php?id=numa003	numa003	Cornelis Star	Numan	Cornelis Star Numan		Sappemeer	Sappemeer	1807-02-02	1807-02-02	Groningen	Groningen	1857-05-09	1857-05-09	male	Sappemeer	Sappemeer			Groningen	Groningen			Negentiende Eeuw	2 februari 1807	1807-02-02	9 mei 1857	1857-05-09	nl			
Montanus de Haan Hettema	28 januari 1796	1796-01-28	Bolsward	Bolsward	18 december 1873	1873-12-18			https://www.dbnl.org/auteurs/auteur.php?id=haan007	haan007	Montanus	de Haan Hettema	Montanus de Haan Hettema	advocaat/jurist	Bolsward	Bolsward	1796-01-28	1796-01-28			1873-12-18	1873-12-18	male	Bolsward	Bolsward							Negentiende Eeuw	28 januari 1796	1796-01-28	18 december 1873	1873-12-18	nl		advocaat/jurist	
Taco Roorda	19 juli 1801	1801-07-19	Britsum	Britsum	5 mei 1874	1874-05-05	Leiden	Leiden	https://www.dbnl.org/auteurs/auteur.php?id=roor005	roor005	Taco	Roorda	Taco Roorda	herv./leraar/geref. predikant	Britsum	Britsum	1801-07-19	1801-07-19	Leiden	Leiden	1874-05-05	1874-05-05	male	Britsum	Britsum			Leiden	Leiden			Negentiende Eeuw	19 juli 1801	1801-07-19	5 mei 1874	1874-05-05	nl		herv./leraar/geref. predikant	
John Bake	1 september 1787	1787-09-01	Leiden	Leiden	26 maart 1864	1864-03-26	Velp	Velp	https://www.dbnl.org/auteurs/auteur.php?id=bake007	bake007	John	Bake	De Schrijver van de Bedenkingen over het crediet/Géron/Janus Bakius/Johannes Bakius/John Bake	leraar/docent/hoogleraar	Leiden	Leiden	1787-09-01	1787-09-01	Velp	Velp	1864-03-26	1864-03-26	male	Leiden	Leiden			Velp	Velp			Negentiende Eeuw	1 september 1787	1787-09-01	26 maart 1864	1864-03-26	nl		leraar/docent/hoogleraar	
Johan de Wal	3 april 1816	1816-04-03	Franeker	Franeker	7 februari 1892	1892-02-07	Arnhem	Arnhem	https://www.dbnl.org/auteurs/auteur.php?id=wal_010	wal_010	Johan	de Wal	Johan de Wal	advocaat/jurist	Franeker	Franeker	1816-04-03	1816-04-03	Arnhem	Arnhem	1892-02-07	1892-02-07	male	Franeker	Franeker			Arnhem	Arnhem			Negentiende Eeuw	3 april 1816	1816-04-03	7 februari 1892	1892-02-07	nl		advocaat/jurist	
Jacob Geel	12 november 1789	1789-11-12	Amsterdam	Amsterdam	11 november 1862	1862-11-11	Den Haag	Den Haag	https://www.dbnl.org/auteurs/auteur.php?id=geel003	geel003	Jacob	Geel	Jacob Geel	archivaris/bibliothecaris	Amsterdam	Amsterdam	1789-11-12	1789-11-12	Den Haag	Den Haag	1862-11-11	1862-11-11	male	Amsterdam	Amsterdam			Den Haag	Den Haag			Negentiende Eeuw	12 november 1789	1789-11-12	11 november 1862	1862-11-11	nl	secundair	archivaris/classicus/bibliothecaris	
André van Hasselt	5 januari 1806	1806-01-05	Maastricht	Maastricht	1 december 1874	1874-12-01	Brussel	Brussel	https://www.dbnl.org/auteurs/auteur.php?id=hass001	hass001	Andries Hendrik	van Hasselt	André van Hasselt	ambtenaar/bibliothecaris/jurist/archivaris/advocaat	Maastricht	Maastricht	1806-01-05	1806-01-05	Brussel	Brussel	1874-12-01	1874-12-01	male	Maastricht	Maastricht			Brussel	Brussel			Negentiende Eeuw	5 januari 1806	1806-01-05	1 december 1874	1874-12-01	nl	secundair/jeugdliteratuur/limburg	ambtenaar/bibliothecaris/jurist/archivaris/advocaat	
J.F. Oltmans	1 september 1806	1806-09-01	Den Haag	Den Haag	29 januari 1854	1854-01-29	Steenderen	Steenderen	https://www.dbnl.org/auteurs/auteur.php?id=oltm001	oltm001	Jan Frederik	Oltmans	J. van den Hage/J.F. Oltmans	staatsman/bestuurder/politicus	Den Haag	Den Haag	1806-09-01	1806-09-01	Steenderen	Steenderen	1854-01-29	1854-01-29	male	Den Haag	Den Haag			Steenderen	Steenderen			Negentiende Eeuw	1 september 1806	1806-09-01	29 januari 1854	1854-01-29	nl	jeugdliteratuur	staatsman/bestuurder/politicus	
A.L. Lesturgeon	16 oktober 1815	1815-10-16	Venlo	Venlo	18 juni 1878	1878-06-18	Zweelo	Zweelo	https://www.dbnl.org/auteurs/auteur.php?id=lest002	lest002	Alexander Lodewijk	Lesturgeon	A.L. Lesturgeon/Drie Podagristen	herv./leraar/geref. predikant	Venlo	Venlo	1815-10-16	1815-10-16	Zweeloo	Zweeloo	1878-06-18	1878-06-18	male	Venlo	Venlo			Zweelo	Zweelo			Negentiende Eeuw	16 oktober 1815	1815-10-16	18 juni 1878	1878-06-18	nl	nonfictie	journalist/leraar/redacteur/herv./geref. predikant	
Willem Ernst Johan Berg	27 juli 1813	1813-07-27	Amsterdam	Amsterdam	24 juni 1888	1888-06-24	Hilversum	Hilversum	https://www.dbnl.org/auteurs/auteur.php?id=berg073	berg073	Willem Ernst Johan	Berg	Guilielmus Ernestus Janus Berg/W.J.E. Berg van Dussen Muikerk/Willem Ernst Joan Berg van Dussen Muilkerk/Willem Ernst Johan Berg	jurist/staatsman/bestuurder/politicus/advocaat	Amsterdam	Amsterdam	1813-07-27	1813-07-27	Hilversum	Hilversum	1888-06-24	1888-06-24	male	Amsterdam	Amsterdam			Hilversum	Hilversum			Negentiende Eeuw	27 juli 1813	1813-07-27	24 juni 1888	1888-06-24	nl		jurist/staatsman/bestuurder/politicus/advocaat	
Hendrik Jan Nassau	30 november 1791	1791-11-30	Middelburg	Middelburg	8 november 1873	1873-11-08	Assen	Assen	https://www.dbnl.org/auteurs/auteur.php?id=nass001	nass001	Hendrik Jan	Nassau	Hendrik Jan Nassau		Middelburg	Middelburg	1791-11-30	1791-11-30	Assen	Assen	1873-11-08	1873-11-08	male	Middelburg	Middelburg			Assen	Assen			Negentiende Eeuw	30 november 1791	1791-11-30	8 november 1873	1873-11-08	nl			
Wopke Eekhoff	2 maart 1809	1809-03-02	Leeuwarden	Leeuwarden	12 februari 1880	1880-02-12	Leeuwarden	Leeuwarden	https://www.dbnl.org/auteurs/auteur.php?id=eekh002	eekh002	Wopke	Eekhoff	Wopke Eekhoff	boekhandelaar/bibliothecaris/boekdrukker/archivaris/uitgever	Leeuwarden	Leeuwarden	1809-03-02	1809-03-02	Leeuwarden	Leeuwarden	1880-02-12	1880-02-12	male	Leeuwarden	Leeuwarden			Leeuwarden	Leeuwarden			Negentiende Eeuw	2 maart 1809	1809-03-02	12 februari 1880	1880-02-12	nl	nonfictie/fries	boekhandelaar/bibliothecaris/boekdrukker/archivaris/uitgever	
H.F. Cohen	1 juli 1946	1946-07-01	Haarlem	Haarlem					https://www.dbnl.org/auteurs/auteur.php?id=cohe008	cohe008	Hendrik Floris	Cohen	Floris Cohen/H.F. Cohen	leraar/archeoloog/hoogleraar/vertaler/docent/historicus	Haarlem	Haarlem	7/1/1946	1946-07-01					male	Haarlem	Haarlem							20e/21e Eeuw	1 juli 1946	1946-07-01				nonfictie	leraar/archeoloog/hoogleraar/vertaler/docent/historicus	
