Author	DOB	POB	DOD	POD	Link	identifier	givenName	familyName	alternateNames	occupation	birthPlace	birthDate	deathPlace	deathDate	gender
H.T. de Graaf	26 juni 1875	Kollum	2 december 1930		https://www.dbnl.org/auteurs/auteur.php?id=graa025	graa025	H.T.	de Graaf	H.T. de Graaf		Kollum	1875-06-26		12/2/1930	male
J.P. van Limburg Stirum	1873		1948		https://www.dbnl.org/auteurs/auteur.php?id=limb018	limb018	Johan Paul	van Limburg Stirum	J.P. graaf van Limburg Stirum/J.P. van Limburg Stirum			1873		1948	male
J.C.C. Tonnet	20ste eeuw				https://www.dbnl.org/auteurs/auteur.php?id=tonn007	tonn007	J.C.C.	Tonnet	J.C.C. Tonnet			19xx			male
G.J. Morsch	20ste eeuw				https://www.dbnl.org/auteurs/auteur.php?id=mors005	mors005	G.J.	Morsch	G.J. Morsch	vertaler		19xx			male
A.A. van Schelven	1814		1900		https://www.dbnl.org/auteurs/auteur.php?id=sche083	sche083	Aart Arnout	van Schelven	A.A. van Schelven	herv./leraar/geref. predikant		1814		1900	male
J.E. van der Pot	7 juni 1885	Zwolle	21 februari 1968	Rotterdam	https://www.dbnl.org/auteurs/auteur.php?id=pot_027	pot_027	Johannes Everhardus	van der Pot	J.E. van der Pot	herv./leraar/geref. predikant	Zwolle	1885-06-07	Rotterdam	2/21/1968	male
C. Wolterbeek	19de eeuw				https://www.dbnl.org/auteurs/auteur.php?id=wolt036	wolt036	C.	Wolterbeek	C. Wolterbeek			18xx			male
Arthur J.H. Cornette	4 maart 1880	Antwerpen	22 januari 1945	Brugge	https://www.dbnl.org/auteurs/auteur.php?id=corn014	corn014	Arthur Jacob Hendrik	Cornette	Arthur J.H. Cornette	leraar/kunsthandelaar/hoogleraar/kunsthistoricus/docent	Antwerpen	1880-03-04	Brugge	1/22/1945	male
C. van Vollenhoven	1 juli 1809	Rotterdam	26 januari 1896	Moordrecht	https://www.dbnl.org/auteurs/auteur.php?id=voll015	voll015	Cornelis	van Vollenhoven	C. van Vollenhoven	staatsman/bestuurder/politicus	Rotterdam	1809-07-01	Moordrecht	1896-01-26	male
S.I. van Zuylen van Nyevelt	19de eeuw				https://www.dbnl.org/auteurs/auteur.php?id=zuyl031	zuyl031	S.I.	van Zuylen van Nyevelt	S.I. van Zuylen van Nyevelt			18xx			male
D. Merens	19de eeuw				https://www.dbnl.org/auteurs/auteur.php?id=mere022	mere022	D.	Merens	D. Merens			18xx			male
Boris Raptschinsky	1887		1983		https://www.dbnl.org/auteurs/auteur.php?id=rapt001	rapt001	Boris Naumovic	Raptschinsky	Boris Rapcinskij/Boris Raptschinsky	journalist/leraar/letterkundige (NIET-neerl.)/redacteur/vertaler/hoogleraar/docent		1887-02-25	Amsterdam	3/15/1983	male
A.J. van der Steur	27 september 1893	Haarlem	13 december 1953	Rotterdam	https://www.dbnl.org/auteurs/auteur.php?id=steu015	steu015	Adrianus (Ad)	van der Steur	A.J. van der Steur	architect/bouwkundig ingenieur/bouwmeester	Haarlem	1893-09-27	Rotterdam	12/13/1953	male
A. Plate	1881		1953		https://www.dbnl.org/auteurs/auteur.php?id=plat009	plat009	Auguste	Plate	A. Plate			1881		1953	male
W. Kramer	10 november 1885	Westmaas	27 november 1962	Bussum	https://www.dbnl.org/auteurs/auteur.php?id=kram008	kram008	Willem	Kramer	W. Kramer	onderwijzer (basisschool)	Westmaas	1885-11-10	Bussum	11/27/1962	male
A.W.C. Zuidema	19de eeuw				https://www.dbnl.org/auteurs/auteur.php?id=zuid008	zuid008	A.W.C.	Zuidema	A.W.C. Zuidema			18xx			male
Willem Pijper	8 september 1894	Zeist	maart 1947	Leidschendam	https://www.dbnl.org/auteurs/auteur.php?id=pijp004	pijp004	Willem Frederik Johannes	Pijper	Willem Pijper	jongleur/musicus/minstreel	Zeist	1894-09-08	Leidschendam	1947-03-xx	male
Wilhelm Martin	20 juni 1876	Quakenbrück	10 maart 1954	Den Haag	https://www.dbnl.org/auteurs/auteur.php?id=mart039	mart039	Wilhelm	Martin	Wilhelm Martin	kunsthistoricus/kunsthandelaar		1876-06-20	Den Haag	3/10/1954	male
J.Z. Kannegieter	1892		1979		https://www.dbnl.org/auteurs/auteur.php?id=kann001	kann001	Jan Zacharias	Kannegieter	J.Z. Kannegieter	onderwijzer (basisschool)		1892		1979	male
Abraham Benjamin Cohen Stuart	17 augustus 1880	Semarang	2 september 1955	Scheveningen	https://www.dbnl.org/auteurs/auteur.php?id=cohe010	cohe010	Abraham Benjamin	Cohen Stuart	Abraham Benjamin Cohen Stuart	ambtenaar		1880-08-17	Scheveningen	9/2/1955	male
W.A.P. Smit	6 december 1903	Heumen	20 juni 1986	Utrecht	https://www.dbnl.org/auteurs/auteur.php?id=smit021	smit021	Wisse Alfred Pierre	Smit	W.A.P. Smit	archeoloog/historicus	Heumen	12/6/1903	Utrecht	6/20/1986	male
C. de Boer	26 mei 1880	Leiden	7 augustus 1957	Leiden	https://www.dbnl.org/auteurs/auteur.php?id=boer064	boer064	Cornelis	de Boer	C. de Boer	leraar/docent/hoogleraar	Leiden	1880-05-26	Leiden	8/7/1957	male
Reinier van Genderen Stort	1 mei 1886	Buitenzorg	7 januari 1942	Wassenaar	https://www.dbnl.org/auteurs/auteur.php?id=gend001	gend001	Reinier Johannes Willem	van Genderen Stort	Reinier van Genderen Stort			1886-05-01	Wassenaar	1/7/1942	male
N.J. Polak	19de eeuw				https://www.dbnl.org/auteurs/auteur.php?id=pola049	pola049	Nico Jacob	Polak	N.J. Polak			18xx			male
Johannes Lindeboom	26 augustus 1882	Deventer	13 januari 1958	Groningen	https://www.dbnl.org/auteurs/auteur.php?id=lind039	lind039	Johannes	Lindeboom	Johannes Lindeboom	herv./leraar/geref. predikant	Deventer	1882-08-26	Groningen	1/13/1958	male
Matthijs Vermeulen	8 februari 1888	Helmond	26 juli 1967	Laren	https://www.dbnl.org/auteurs/auteur.php?id=verm030	verm030	Matheas Christianus Franciscus	Vermeulen	Hugo Reynst/Matheas Christianus Franciscus van der Meulen/Matthijs Vermeulen	musicus/journalist/redacteur/jongleur/minstreel	Helmond	1888-02-08	Laren	7/26/1967	male
Robert van Genechten	25 oktober 1895	Antwerpen	13 december 1945	Den Haag	https://www.dbnl.org/auteurs/auteur.php?id=gene001	gene001	Robert	van Genechten	Robert van Genechten	leraar/jurist/hoogleraar/staatsman/docent/bestuurder/politicus/advocaat	Antwerpen	1895-10-25	Den Haag	12/13/1945	male
B.G. Escher	4 april 1885	Gorinchem	11 oktober 1967	Arnhem	https://www.dbnl.org/auteurs/auteur.php?id=esch014	esch014	Berend George	Escher	B.G. Escher	natuurwetenschapper	Gorinchem	1885-04-04	Arnhem	10/11/1967	male
P.L. van Eck jr.	1876		1956		https://www.dbnl.org/auteurs/auteur.php?id=eck_009	eck_009	P.L.	van Eck jr.	P.L. van Eck jr.	onderwijzer (basisschool)		1876		1956	male
C.J. Blaauw	12 oktober 1885	Amsterdam	29 januari 1947	Haarlem	https://www.dbnl.org/auteurs/auteur.php?id=blaa014	blaa014	Cornelis Jouke	Blaauw	C.J. Blaauw	architect/bouwkundig ingenieur/bouwmeester	Amsterdam	1885-10-12	Haarlem	1/29/1947	male
D.F. Slothouwer					https://www.dbnl.org/auteurs/auteur.php?id=slot027	slot027	Dirk Frederik	Slothouwer	D.F. Slothouwer						male
R.W.J. den Tex	20ste eeuw				https://www.dbnl.org/auteurs/auteur.php?id=tex_009	tex_009	R.W.J.	den Tex	R.W.J. den Tex			19xx			male
Herman Vos	30 maart 1889	Antwerpen	12 mei 1952	Antwerpen	https://www.dbnl.org/auteurs/auteur.php?id=vos_057	vos_057	Herman	Vos	Herman Vos	staatsman/bestuurder/politicus	Antwerpen	1889-03-30	Antwerpen	5/12/1952	male
F.J.A. Huart	16 april 1896	Delft	23 december 1935	Amsterdam	https://www.dbnl.org/auteurs/auteur.php?id=huar005	huar005	Frederik Johan Albert	Huart	F.J.A. Huart	leraar/jurist/hoogleraar/docent/advocaat	Delft	1896-04-16	Amsterdam	12/23/1935	male
D.J. Sannes	19de eeuw				https://www.dbnl.org/auteurs/auteur.php?id=sann008	sann008	Dirk Johan (Hans)	Sannes	D.J. Sannes	advocaat/jurist		18xx			male
D. Dresden	20 januari 1886	Amsterdam	10 november 1960	Delft	https://www.dbnl.org/auteurs/auteur.php?id=dres008	dres008	Daniël	Dresden	D. Dresden	leraar/docent/hoogleraar	Amsterdam	1886-01-20	Delft	11/10/1960	male
J.B. Manger	2 november 1895		6 september 1942	Amsterdam	https://www.dbnl.org/auteurs/auteur.php?id=mang003	mang003	Johannes Bernardus	Manger	J.B. Manger	archeoloog/historicus		1895-11-02	Amsterdam	9/6/1942	male
J.A.J. Barge	27 januari 1884	Semarang	18 februari 1952	Leiden	https://www.dbnl.org/auteurs/auteur.php?id=barg002	barg002	Joannes Antonius James	Barge	J.A.J. Barge/Ton Barge	leraar/hoogleraar/staatsman/docent/apotheker/bestuurder/politicus/medicus		1884-01-27	Leiden	2/18/1952	male
L.A. Alting Mees	19de eeuw		20ste eeuw		https://www.dbnl.org/auteurs/auteur.php?id=alti026	alti026	L.A.	Alting Mees	L.A. Alting Mees			18xx		19xx	male
A.A.M. Stols	28 januari 1900	Maastricht	13 april 1973	Tarragona	https://www.dbnl.org/auteurs/auteur.php?id=stol009	stol009	Alexandre Alphonse Marius	Stols	A.A.M. Stols	uitgever/boekdrukker	Maastricht	1/28/1900		4/13/1973	male
L.J. van Holk	16 oktober 1893	Amsterdam	23 januari 1982	De Bilt	https://www.dbnl.org/auteurs/auteur.php?id=holk003	holk003	Lambertus Jacobus	van Holk	L.J. van Holk	theoloog	Amsterdam	1893-10-16	De Bilt	1/23/1982	male
J.H. Plantenga	15 januari 1891	Rotterdam	1942	Wassenaar	https://www.dbnl.org/auteurs/auteur.php?id=plan015	plan015	Jan Hendrik	Plantenga	J.H. Plantenga	architect/bouwkundig ingenieur/bouwmeester	Rotterdam	1891-01-15	Wassenaar	1942	male
T.J.C. Gerritsen	17 september 1893	Hoogeveen	24 maart 1960	Den Haag	https://www.dbnl.org/auteurs/auteur.php?id=gerr009	gerr009	Tiemen J.C.	Gerritsen	T.J.C. Gerritsen		Hoogeveen	1893-09-17	Den Haag	3/24/1960	male
C.L. Heesakkers	24 mei 1935	Berlicum	28 november 2018	Leiden	https://www.dbnl.org/auteurs/auteur.php?id=hees002	hees002	Christiaan Lambert	Heesakkers	C.L. Heesakkers	leraar/bibliothecaris/hoogleraar/archivaris/docent	Berlicum	5/24/1935	Leiden	11/28/2018	male
Th.J.G. Locher	28 september 1900	Waspik	29 september 1970	Leiden	https://www.dbnl.org/auteurs/auteur.php?id=loch003	loch003	Theodor Jakob Gottlieb	Locher	Th.J.G. Locher	leraar/archeoloog/hoogleraar/docent/historicus	Waspik	9/28/1900	Leiden	9/29/1970	male
Hermann Wolf	1 mei 1893	Keulen	24 mei 1942	Amsterdam	https://www.dbnl.org/auteurs/auteur.php?id=wolf063	wolf063	Hermann	Wolf	Hermann Wolf	leraar/docent/filosoof/hoogleraar		1893-05-01	Amsterdam	5/24/1942	male
B. van Geuns	5 augustus 1805	Haarlem	24 februari 1871	Zaandam	https://www.dbnl.org/auteurs/auteur.php?id=geun007	geun007	Bartel	van Geuns	B. van Geuns	leraar/doopsgezind predikant	Haarlem	1805-08-05	Zaandam	1871-02-24	male
Arnold Lysen					https://www.dbnl.org/auteurs/auteur.php?id=lyse002	lyse002	Arnold	Lysen	Arnold Lysen						male
Th. van Welderen Rengers	1867		1945		https://www.dbnl.org/auteurs/auteur.php?id=weld008	weld008	Theodorus Marius Theresius	van Welderen Rengers	Th. van Welderen Rengers			1867		1945	male
Leendert van Lange	13 maart 1894	Rotterdam	1945		https://www.dbnl.org/auteurs/auteur.php?id=lang006	lang006	Leendert	van Lange	Leendert van Lange	agrariër	Rotterdam	1894-03-13		1945	male
E.A.N.P. Franchimont					https://www.dbnl.org/auteurs/auteur.php?id=fran137	fran137	E.A.N.P.	Franchimont	E.A.N.P. Franchimont						male
E. du Perron	2 november 1899	Jatinegara	14 mei 1940	Bergen	https://www.dbnl.org/auteurs/auteur.php?id=du_p001	du_p001	Charles Edgar	du Perron	Cesar Bombay/Duco Perkens/E. du Perron/Eddy du Perron/W.C. Kloot van Neukema	redacteur/journalist		1899-11-02	Bergen	5/14/1940	male
R.A.D. Cort van der Linden	30 december 1886	Groningen	1965		https://www.dbnl.org/auteurs/auteur.php?id=cort030	cort030	Rudolph Adriaan Damas	Cort van der Linden	R.A.D. Cort van der Linden	jongleur/zeevarende/musicus/minstreel	Groningen	1886-12-30		1965	male
Pieter Zeeman	25 mei 1865	Zonnemaire	9 oktober 1943	Amsterdam	https://www.dbnl.org/auteurs/auteur.php?id=zeem007	zeem007	Pieter	Zeeman	Pieter Zeeman	natuurwetenschapper	Zonnemaire	1865-05-25	Amsterdam	10/9/1943	male
Kasper Niehaus	29 oktober 1889	Groningen	29 april 1974	Bergen	https://www.dbnl.org/auteurs/auteur.php?id=nieh004	nieh004	Kasper	Niehaus	Kasper Niehaus	schilder	Groningen	1889-10-29	Bergen	4/29/1974	male
Raymond Herreman	21 augustus 1896	Menen	6 maart 1971	Elsene, Brussel	https://www.dbnl.org/auteurs/auteur.php?id=herr002	herr002	Raymond	Herreman	Raymond Herreman/Raymond Vere	ambtenaar/redacteur/journalist	Menen	1896-08-21	Elsene	3/6/1971	male
Maria van Royen	1892		1973		https://www.dbnl.org/auteurs/auteur.php?id=roye004	roye004	Maria	van Royen	Maria van Royen			1892		1973	female
Emmy van Lokhorst	26 augustus 1891	Den Haag	26/27 mei 1970	Amsterdam	https://www.dbnl.org/auteurs/auteur.php?id=lokh001	lokh001	Emma Paulina	van Lokhorst	Emmy van Lokhorst		Den Haag	1891-08-26	Amsterdam	1970-27-26	female
F.G. Scheltema	1 december 1891	Groningen	15 februari 1939	Amsterdam	https://www.dbnl.org/auteurs/auteur.php?id=sche326	sche326	Foppe Gabbe	Scheltema	F.G. Scheltema	advocaat/jurist	Groningen	1891-12-01	Amsterdam	2/15/1939	male
Jan Toorop	20 december 1858	Poerworedjo	3 maart 1928	Den Haag	https://www.dbnl.org/auteurs/auteur.php?id=toor007	toor007	Jean Theodoor	Toorop	Jan Toorop	illustrator/schilder/tekenaar/beeldend kunstenaar		1858-12-20	Den Haag	3/3/1928	male
J.F. Kunst	1879		1948		https://www.dbnl.org/auteurs/auteur.php?id=kuns011	kuns011	Jan Frederik	Kunst	J.F. Kunst			1879		1948	male
Fenna de Meyier	20 mei 1874	Indramajoe (Java)	12 november 1943	Wageningen	https://www.dbnl.org/auteurs/auteur.php?id=meyi001	meyi001	Fenna	de Meyier	Fenna de Meyier	vertaler		1874-05-20	Wageningen	11/12/1943	female
C.H. van Os	29 juni 1891	Ambarawa	8 oktober 1969	Delft	https://www.dbnl.org/auteurs/auteur.php?id=os__013	os__013	Charles Hendrik	van Os	C.H. van Os	leraar/wiskundige/docent/hoogleraar		1891-06-29	Delft	10/8/1969	male
P.J. Fehmers	16 december 1854	Rotterdam	23 januari 1937	Leiden	https://www.dbnl.org/auteurs/auteur.php?id=fehm001	fehm001	Peter Johannes	Fehmers	P.J. Fehmers	leraar/hoogleraar/staatsman/docent/bestuurder/politicus	Rotterdam	1854-12-16	Leiden	1/23/1937	male
Antoon Jacob	28 maart 1889	Boom	23 februari 1947	Antwerpen	https://www.dbnl.org/auteurs/auteur.php?id=jaco002	jaco002	Antoon	Jacob	Antoon Jacob	leraar/docent/hoogleraar	Boom	1889-03-28	Antwerpen	2/23/1947	male
Antoon Gerard Roos	23 februari 1877	Groningen	2 september 1953	Groningen	https://www.dbnl.org/auteurs/auteur.php?id=roos021	roos021	Antoon Gerard	Roos	Antoon Gerard Roos	classicus	Groningen	1877-02-23	Groningen	9/2/1953	male
Ben Onie	20ste eeuw				https://www.dbnl.org/auteurs/auteur.php?id=onie001	onie001	Ben	Onie	Ben Onie			19xx			male
L.G.M. Baas Becking	4 januari 1895	Deventer	6 januari 1963	Canberra	https://www.dbnl.org/auteurs/auteur.php?id=baas003	baas003	Lourens Gerhard Marinus	Baas Becking	L.G.M. Baas Becking	leraar/docent/hoogleraar/natuurwetenschapper	Deventer	1895-01-04		1/6/1963	male
Boudewijn Nierstrasz	19de eeuw		20ste eeuw		https://www.dbnl.org/auteurs/auteur.php?id=nier025	nier025	Boudewijn	Nierstrasz	Boudewijn Nierstrasz			18xx		19xx	male
J.W. van Nouhuys	28 december 1869	Leiden	11 april 1963	Den Haag	https://www.dbnl.org/auteurs/auteur.php?id=nouh004	nouh004	Jan Willem	van Nouhuys	J.W. van Nouhuys		Leiden	1869-12-28	Den Haag	4/11/1963	male
Amand Simoens	10 december 1884	Kortrijk	9 maart 1963	Mortsel	https://www.dbnl.org/auteurs/auteur.php?id=simo003	simo003	Amand Jozef	Simoens	Amand Simoens	arbeider/werkman	Kortrijk	1884-12-10	Mortsel	3/9/1963	male
R. Wiarda					https://www.dbnl.org/auteurs/auteur.php?id=wiar011	wiar011	Rein	Wiarda	R. Wiarda						male
Lien ter Laan-van Lokhorst	3 december 1899	Valburg	14 november 1994	Den Haag	https://www.dbnl.org/auteurs/auteur.php?id=laan045	laan045	Carolina	ter Laan-van Lokhorst	Lien ter Laan-van Lokhorst		Valburg	1899-12-03	Den Haag	11/14/1994	female
C.W. Lunsingh Scheurleer	1881		1941		https://www.dbnl.org/auteurs/auteur.php?id=luns006	luns006	Constant Willem	Lunsingh Scheurleer	C.W. Lunsingh Scheurleer	classicus		1881		1941	male
M.A. Muusses	27 september 1894	Purmerend	27 oktober 1981	Laren	https://www.dbnl.org/auteurs/auteur.php?id=muus001	muus001	Martha Adriana	Muusses	M.A. Muusses	vertaler	Purmerend	1894-09-27	Laren	10/27/1981	female
F.D.K. Bosch	17 juni 1887	Potchefstroom	20 juli 1967	Leiden	https://www.dbnl.org/auteurs/auteur.php?id=bosc041	bosc041	Frederik David Kan	Bosch	F.D.K. Bosch	archeoloog/historicus		1887-06-17	Leiden	7/20/1967	male
H.A. Mulder	19 juli 1906	Zaamslag	3 mei 1949	Grahamstad	https://www.dbnl.org/auteurs/auteur.php?id=muld007	muld007	Hendrik Adolph	Mulder	H.A. Mulder/Willem Hessels		Zaamslag	7/19/1906		5/3/1949	male
August Vanhoutte	24 september 1889	Oostende	14 maart 1936	Oostende	https://www.dbnl.org/auteurs/auteur.php?id=vanh013	vanh013	August	Vanhoutte	August Vanhoutte		Oostende	1889-09-24	Oostende	3/14/1936	male
Jac. van Ginneken	21 april 1877	Oudenbosch	20 oktober 1945	Nijmegen	https://www.dbnl.org/auteurs/auteur.php?id=ginn001	ginn001	Jacobus Johannes Antonius	van Ginneken	Jac. van Ginneken	ps.ther./psychol/zielsverzorger	Oudenbosch	1877-04-21	Nijmegen	10/20/1945	male
Roelof Kranenburg	8 september 1880	Groningen	27 december 1956	Den Haag	https://www.dbnl.org/auteurs/auteur.php?id=kran005	kran005	Roelof	Kranenburg	Roelof Kranenburg	advocaat/jurist	Groningen	1880-09-08	Den Haag	12/27/1956	male
J.M. de Casseres	2 augustus 1902	Beverwijk	14 september 1990	Den Haag	https://www.dbnl.org/auteurs/auteur.php?id=cass022	cass022	Joël Meijer	de Casseres	J.M. de Casseres		Beverwijk	8/2/1902	Den Haag	9/14/1990	male
W.E.J. Kuiper	1883		1951		https://www.dbnl.org/auteurs/auteur.php?id=kuip032	kuip032	Wolter Everhard Johan	Kuiper	W.E.J. Kuiper	leraar/classicus/docent/hoogleraar		1883		1951	male
Hendrik Brugmans	13 december 1906	Amsterdam	1997	Brugge	https://www.dbnl.org/auteurs/auteur.php?id=brug039	brug039	Hendrik	Brugmans	Hendrik Brugmans	leraar/hoogleraar/staatsman/docent/bestuurder/politicus	Amsterdam	12/13/1906	Brugge	1997	male
Godard Gosses	18 januari 1877	Dokkum	22 oktober 1955	Zeist	https://www.dbnl.org/auteurs/auteur.php?id=goss003	goss003	Godard	Gosses	Godard Gosses	leraar/docent/hoogleraar	Dokkum	1877-01-18	Zeist	10/22/1955	male
Hermien Manger	6 januari 1903	Amsterdam	1988		https://www.dbnl.org/auteurs/auteur.php?id=mang001	mang001	Hermina Maria	Manger	Hermien Manger	vertaler	Amsterdam	1/6/1903		1988	female
Willem van Maanen	22 november 1890	Amsterdam	27 augustus 1989	Utrecht	https://www.dbnl.org/auteurs/auteur.php?id=maan004	maan004	Willem	van Maanen	Willem van Maanen	letterkundige (NIET-neerl.)	Amsterdam	1890-11-22	Utrecht	8/27/1989	male
Jan Kalf	10 mei 1873	Amsterdam	6 maart 1954	Den Haag	https://www.dbnl.org/auteurs/auteur.php?id=kalf001	kalf001	Jan	Kalf	J.F. de Moraaz/Jan Kalf	kunsthistoricus/kunsthandelaar	Amsterdam	1873-05-10	Den Haag	3/6/1954	male
J.M.J. Schepper	19de eeuw		20ste eeuw		https://www.dbnl.org/auteurs/auteur.php?id=sche127	sche127	J.M.J.	Schepper	J.M.J. Schepper	leraar/docent/hoogleraar		18xx		19xx	male
Jérôme Decroos	6 december 1890	Pollinkhove	1 april 1956	Münster	https://www.dbnl.org/auteurs/auteur.php?id=decr003	decr003	Jérôme	Decroos	Jeroen Decroos/Jérôme Decroos	leraar/docent/hoogleraar/vertaler	Pollinkhove	1890-12-06	Münster	4/1/1956	male
Dirk Hudig	16 september 1872	Rotterdam	18 september 1934	Amsterdam	https://www.dbnl.org/auteurs/auteur.php?id=hudi003	hudi003	Dirk	Hudig	Dirk Hudig		Rotterdam	1872-09-16	Amsterdam	9/18/1934	male
Evert Willem Schallenberg	15 november 1893	Rotterdam	23 juni 1972	Amersfoort	https://www.dbnl.org/auteurs/auteur.php?id=scha065	scha065	Evert Willem	Schallenberg	Evert Willem Schallenberg		Rotterdam	1893-11-15	Amersfoort	6/23/1972	male
C.M. Hamaker Sr.	19de eeuw				https://www.dbnl.org/auteurs/auteur.php?id=hama008	hama008	C.M.	Hamaker Sr.	C.M. Hamaker Sr.			18xx			male
A.W. Grauls	17 november 1889	Antwerpen	5 januari 1968	Antwerpen	https://www.dbnl.org/auteurs/auteur.php?id=grau002	grau002	Armand Willem	Grauls	A.W. Grauls		Antwerpen	1889-11-17	Antwerpen	1/5/1968	male
C. Binnerts	29 november 1901	Meppel	20 augustus 1954		https://www.dbnl.org/auteurs/auteur.php?id=binn015	binn015	Coert	Binnerts	C. Binnerts	boekdrukker/jurist/staatsman/uitgever/bestuurder/politicus/advocaat	Meppel	11/29/1901		8/20/1954	male
W.J. van de Woestijne	1901	Amsterdam			https://www.dbnl.org/auteurs/auteur.php?id=woes013	woes013	Willem Joost	van de Woestijne	W.J. van de Woestijne		Amsterdam	1901			male
F.A. van der Hoeven	19de eeuw				https://www.dbnl.org/auteurs/auteur.php?id=hoev042	hoev042	F.A.	van der Hoeven	F.A. van der Hoeven			18xx			male
I.J. Brugmans	8 november 1896	Groningen	19 december 1992	Den Haag	https://www.dbnl.org/auteurs/auteur.php?id=brug035	brug035	Izaak Johannes	Brugmans	I.J. Brugmans	archeoloog/historicus	Groningen	1896-11-08	Den Haag	12/19/1992	male
Ralph Springer	1886		1942		https://www.dbnl.org/auteurs/auteur.php?id=spri004	spri004	Ralph	Springer	Ralph Springer			1886		1942	male
F.A.J. Vermeulen	1883		1961		https://www.dbnl.org/auteurs/auteur.php?id=verm127	verm127	Frans André Jozef	Vermeulen	F.A.J. Vermeulen			1883		1961	male
A.C. Kersbergen	19de eeuw				https://www.dbnl.org/auteurs/auteur.php?id=kers015	kers015	A.C.	Kersbergen	A.C. Kersbergen			18xx			male
C.J.J. Westermann	19de eeuw		1946		https://www.dbnl.org/auteurs/auteur.php?id=west161	west161	C.J.J.	Westermann	C.J.J. Westermann			18xx		1946	male
Jan P.M.L. de Vries	11 februari 1890	Amsterdam	23 juli 1964	Utrecht	https://www.dbnl.org/auteurs/auteur.php?id=vrie031	vrie031	Jan Pieter Marie Laurens	de Vries	Jan P.M.L. de Vries/Jan van Loveren	leraar/letterkundige (NIET-neerl.)/hoogleraar/vertaler/docent	Amsterdam	1890-02-11	Utrecht	7/23/1964	male
Jacob Haantjes	1 september 1899	Renkum	3 augustus 1956	Goes	https://www.dbnl.org/auteurs/auteur.php?id=haan027	haan027	Jacob	Haantjes	Jacob Haantjes	leraar/docent/hoogleraar	Renkum	1899-09-01	Goes	8/3/1956	male
